DateTime,SPD10,DIR10,SLP,T2,RH2,TD2
2018-03-04-06:00:00,4.65000,171.00000,1017.00000,279.35000,34.00000,264.61000
2018-03-04-07:00:00,3.92000,153.00000,1016.90000,279.35000,33.00000,264.23000
2018-03-04-08:00:00,3.88000,151.00000,1017.10000,278.55000,35.00000,264.27000
2018-03-04-09:00:00,2.90000,138.00000,1017.40000,277.85000,36.00000,264.00000
2018-03-04-10:00:00,3.61000,137.00000,1018.30000,276.85000,36.00000,263.10000
2018-03-04-11:00:00,2.56000,144.00000,1019.70000,276.35000,38.00000,263.34000
2018-03-04-12:00:00,1.61000,136.00000,1020.90000,275.45000,40.00000,263.17000
2018-03-04-13:00:00,1.54000,96.00000,1021.90000,274.75000,42.00000,263.16000
2018-03-04-14:00:00,1.44000,93.00000,1022.20000,273.95000,46.00000,263.59000
2018-03-04-15:00:00,0.92000,123.00000,1022.30000,272.45000,51.00000,264.44000
2018-03-04-16:00:00,1.49000,86.00000,1022.70000,272.45000,50.00000,264.22000
2018-03-04-17:00:00,1.34000,62.00000,1023.00000,271.25000,57.00000,264.59000
2018-03-04-18:00:00,0.96000,77.00000,1023.50000,271.15000,58.00000,264.70000
2018-03-04-19:00:00,1.51000,357.00000,1023.70000,270.55000,62.00000,264.90000
2018-03-04-20:00:00,1.29000,5.00000,1024.10000,269.15000,67.00000,264.45000
2018-03-04-21:00:00,1.02000,151.00000,1024.80000,269.15000,68.00000,264.62000
2018-03-04-22:00:00,0.89000,149.00000,1025.60000,268.55000,69.00000,264.21000
2018-03-04-23:00:00,0.86000,15.00000,1026.40000,268.15000,72.00000,264.31000
2018-03-05-00:00:00,0.85000,13.00000,1027.40000,272.45000,61.00000,266.53000
2018-03-05-01:00:00,1.69000,103.00000,1028.00000,274.75000,44.00000,263.75000
2018-03-05-02:00:00,2.82000,133.00000,1028.30000,275.95000,37.00000,262.63000
2018-03-05-03:00:00,4.26000,161.00000,1028.00000,278.25000,32.00000,262.85000
2018-03-05-04:00:00,4.34000,152.00000,1027.40000,279.05000,30.00000,262.74000
2018-03-05-05:00:00,5.78000,187.00000,1026.30000,280.15000,26.00000,261.88000
2018-03-05-06:00:00,5.48000,181.00000,1025.10000,281.65000,21.00000,260.49000
2018-03-05-07:00:00,5.96000,199.00000,1024.40000,281.35000,19.00000,258.99000
2018-03-05-08:00:00,7.13000,187.00000,1023.90000,281.25000,21.00000,260.15000
2018-03-05-09:00:00,5.81000,175.00000,1023.70000,280.05000,25.00000,261.30000
2018-03-05-10:00:00,6.18000,175.00000,1023.80000,278.25000,27.00000,260.70000
2018-03-05-11:00:00,6.17000,163.00000,1025.00000,276.15000,32.00000,260.97000
2018-03-05-12:00:00,4.65000,159.00000,1026.40000,274.75000,37.00000,261.55000
2018-03-05-13:00:00,2.86000,149.00000,1027.20000,273.15000,44.00000,262.28000
2018-03-05-14:00:00,1.03000,115.00000,1027.90000,272.25000,50.00000,264.03000
2018-03-05-15:00:00,1.92000,90.00000,1028.20000,271.35000,56.00000,264.48000
2018-03-05-16:00:00,2.33000,108.00000,1028.60000,270.75000,60.00000,264.71000
2018-03-05-17:00:00,1.79000,127.00000,1029.00000,270.25000,61.00000,264.42000
2018-03-05-18:00:00,1.27000,139.00000,1029.20000,269.85000,63.00000,264.41000
2018-03-05-19:00:00,0.44000,59.00000,1028.90000,269.05000,67.00000,264.35000
2018-03-05-20:00:00,1.30000,82.00000,1029.10000,269.25000,68.00000,264.71000
2018-03-05-21:00:00,1.38000,83.00000,1029.70000,269.05000,71.00000,265.02000
2018-03-05-22:00:00,0.57000,81.00000,1030.70000,269.25000,69.00000,264.88000
2018-03-05-23:00:00,1.11000,96.00000,1031.70000,268.75000,74.00000,265.21000
2018-03-06-00:00:00,0.56000,94.00000,1032.80000,270.65000,67.00000,265.89000
2018-03-06-01:00:00,3.16000,109.00000,1033.40000,271.85000,59.00000,265.56000
2018-03-06-02:00:00,3.60000,125.00000,1034.00000,273.35000,55.00000,265.34000
2018-03-06-03:00:00,3.13000,128.00000,1033.90000,274.25000,50.00000,264.94000
2018-03-06-04:00:00,3.88000,153.00000,1033.10000,275.95000,42.00000,264.26000
2018-03-06-05:00:00,2.18000,179.00000,1031.70000,276.55000,37.00000,263.18000
2018-03-06-06:00:00,3.25000,175.00000,1030.70000,277.85000,33.00000,262.88000
2018-03-06-07:00:00,5.35000,175.00000,1030.00000,277.65000,29.00000,261.07000
2018-03-06-08:00:00,4.96000,171.00000,1029.60000,276.95000,29.00000,260.45000
2018-03-06-09:00:00,4.87000,156.00000,1029.50000,276.65000,29.00000,260.18000
2018-03-06-10:00:00,5.46000,151.00000,1030.20000,275.25000,36.00000,261.65000
2018-03-06-11:00:00,6.35000,166.00000,1030.70000,273.85000,38.00000,261.07000
2018-03-06-12:00:00,4.77000,160.00000,1030.80000,273.45000,30.00000,257.77000
2018-03-06-13:00:00,4.86000,157.00000,1031.00000,273.05000,32.00000,258.20000
2018-03-06-14:00:00,3.36000,153.00000,1030.80000,272.55000,38.00000,261.18000
2018-03-06-15:00:00,3.27000,159.00000,1030.60000,272.05000,44.00000,262.38000
2018-03-06-16:00:00,3.45000,156.00000,1029.90000,271.45000,45.00000,262.08000
2018-03-06-17:00:00,1.67000,144.00000,1029.50000,271.15000,48.00000,262.53000
2018-03-06-18:00:00,2.08000,140.00000,1029.00000,271.05000,49.00000,262.67000
2018-03-06-19:00:00,1.50000,133.00000,1028.20000,270.45000,52.00000,262.78000
2018-03-06-20:00:00,1.81000,101.00000,1027.10000,270.25000,42.00000,260.18000
2018-03-06-21:00:00,1.56000,125.00000,1026.70000,270.35000,40.00000,259.73000
2018-03-06-22:00:00,1.66000,118.00000,1025.70000,269.85000,41.00000,259.55000
2018-03-06-23:00:00,1.18000,125.00000,1025.40000,269.45000,44.00000,259.96000
2018-03-07-00:00:00,2.95000,157.00000,1025.50000,270.55000,43.00000,260.73000
2018-03-07-01:00:00,2.57000,156.00000,1025.80000,271.35000,42.00000,261.20000
2018-03-07-02:00:00,2.38000,169.00000,1025.10000,271.75000,43.00000,261.84000
2018-03-07-03:00:00,1.74000,132.00000,1024.10000,272.65000,45.00000,263.19000
2018-03-07-04:00:00,2.10000,159.00000,1023.00000,273.95000,46.00000,263.59000
2018-03-07-05:00:00,2.00000,184.00000,1022.00000,274.15000,47.00000,264.05000
2018-03-07-06:00:00,1.42000,68.00000,1021.30000,275.15000,44.00000,264.12000
2018-03-07-07:00:00,1.24000,240.00000,1020.80000,274.85000,45.00000,264.14000
2018-03-07-08:00:00,1.34000,136.00000,1020.50000,274.95000,46.00000,264.51000
2018-03-07-09:00:00,1.42000,153.00000,1020.50000,275.25000,46.00000,264.79000
2018-03-07-10:00:00,1.20000,86.00000,1021.50000,274.75000,49.00000,265.15000
2018-03-07-11:00:00,1.43000,52.00000,1023.20000,273.65000,52.00000,264.89000
2018-03-07-12:00:00,1.37000,44.00000,1024.50000,272.75000,56.00000,265.81000
2018-03-07-13:00:00,0.74000,19.00000,1025.70000,271.25000,67.00000,266.47000
2018-03-07-14:00:00,3.05000,328.00000,1026.90000,272.45000,54.00000,265.11000
2018-03-07-15:00:00,1.86000,36.00000,1027.70000,270.95000,64.00000,265.65000
2018-03-07-16:00:00,2.87000,15.00000,1028.30000,271.65000,59.00000,265.37000
2018-03-07-17:00:00,2.54000,6.00000,1029.00000,271.95000,49.00000,263.51000
2018-03-07-18:00:00,2.49000,8.00000,1029.20000,271.75000,48.00000,263.09000
2018-03-07-19:00:00,3.01000,4.00000,1029.30000,271.25000,48.00000,262.62000
2018-03-07-20:00:00,3.00000,16.00000,1029.50000,272.05000,38.00000,260.73000
2018-03-07-21:00:00,2.55000,40.00000,1029.80000,271.35000,37.00000,259.78000
2018-03-07-22:00:00,2.83000,28.00000,1030.00000,271.45000,34.00000,258.94000
2018-03-07-23:00:00,1.91000,38.00000,1030.80000,270.35000,35.00000,258.25000
2018-03-08-00:00:00,3.40000,42.00000,1031.30000,272.35000,30.00000,258.37000
2018-03-08-01:00:00,3.78000,45.00000,1031.60000,274.05000,27.00000,257.01000
2018-03-08-02:00:00,2.65000,87.00000,1031.70000,275.75000,23.00000,256.54000
2018-03-08-03:00:00,1.51000,235.00000,1031.30000,277.75000,22.00000,257.72000
2018-03-08-04:00:00,2.66000,264.00000,1030.20000,278.25000,21.00000,257.58000
2018-03-08-05:00:00,2.88000,183.00000,1029.00000,279.75000,20.00000,258.26000
2018-03-08-06:00:00,3.79000,207.00000,1027.70000,280.85000,20.00000,259.20000
2018-03-08-07:00:00,5.59000,193.00000,1027.10000,280.75000,22.00000,260.30000
2018-03-08-08:00:00,6.26000,195.00000,1026.60000,280.15000,27.00000,262.36000
2018-03-08-09:00:00,6.09000,200.00000,1026.40000,279.25000,30.00000,262.91000
2018-03-08-10:00:00,5.74000,190.00000,1025.50000,278.45000,32.00000,263.03000
2018-03-08-11:00:00,4.64000,181.00000,1026.10000,277.35000,37.00000,263.90000
2018-03-08-12:00:00,5.27000,188.00000,1026.60000,277.15000,38.00000,264.06000
2018-03-08-13:00:00,1.83000,140.00000,1027.00000,275.45000,43.00000,264.10000
2018-03-08-14:00:00,1.55000,118.00000,1026.80000,274.55000,43.00000,263.28000
2018-03-08-15:00:00,1.97000,135.00000,1026.40000,273.95000,44.00000,263.02000
2018-03-08-16:00:00,2.39000,123.00000,1026.00000,272.25000,52.00000,264.48000
2018-03-08-17:00:00,2.86000,115.00000,1025.90000,271.35000,57.00000,264.69000
2018-03-08-18:00:00,1.99000,107.00000,1025.40000,270.85000,62.00000,265.18000
2018-03-08-19:00:00,1.53000,83.00000,1024.80000,270.15000,65.00000,265.06000
2018-03-08-20:00:00,1.90000,96.00000,1024.50000,269.55000,66.00000,264.66000
2018-03-08-21:00:00,2.30000,104.00000,1024.10000,269.55000,67.00000,264.83000
2018-03-08-22:00:00,1.00000,91.00000,1023.50000,269.05000,69.00000,264.69000
2018-03-08-23:00:00,0.92000,30.00000,1023.30000,267.95000,73.00000,264.27000
2018-03-09-00:00:00,0.82000,360.00000,1023.30000,270.65000,62.00000,264.99000
2018-03-09-01:00:00,1.27000,154.00000,1023.10000,272.05000,53.00000,264.51000
2018-03-09-02:00:00,0.78000,187.00000,1022.10000,273.75000,46.00000,263.40000
2018-03-09-03:00:00,1.18000,117.00000,1020.90000,275.75000,41.00000,263.77000
2018-03-09-04:00:00,1.71000,218.00000,1019.40000,277.25000,37.00000,263.81000
2018-03-09-05:00:00,2.09000,198.00000,1017.90000,278.45000,36.00000,264.54000
2018-03-09-06:00:00,3.69000,168.00000,1016.30000,280.15000,34.00000,265.33000
2018-03-09-07:00:00,4.04000,205.00000,1015.00000,282.25000,30.00000,265.57000
2018-03-09-08:00:00,3.19000,200.00000,1014.20000,282.25000,32.00000,266.42000
2018-03-09-09:00:00,3.22000,204.00000,1013.90000,281.95000,33.00000,266.55000
2018-03-09-10:00:00,1.17000,144.00000,1013.80000,280.55000,37.00000,266.80000
2018-03-09-11:00:00,2.02000,11.00000,1014.20000,276.05000,44.00000,264.95000
2018-03-09-12:00:00,0.77000,58.00000,1014.20000,275.95000,48.00000,265.99000
2018-03-09-13:00:00,2.00000,32.00000,1014.50000,275.55000,51.00000,266.41000
2018-03-09-14:00:00,0.97000,4.00000,1014.90000,274.45000,49.00000,264.87000
2018-03-09-15:00:00,2.41000,304.00000,1015.00000,275.15000,50.00000,265.78000
2018-03-09-16:00:00,1.70000,351.00000,1015.10000,275.45000,49.00000,265.80000
2018-03-09-17:00:00,1.22000,7.00000,1015.30000,273.35000,56.00000,265.57000
2018-03-09-18:00:00,2.24000,336.00000,1015.80000,273.05000,59.00000,265.97000
2018-03-09-19:00:00,3.19000,350.00000,1015.80000,271.55000,65.00000,266.41000
2018-03-09-20:00:00,3.04000,355.00000,1016.00000,271.95000,63.00000,266.43000
2018-03-09-21:00:00,3.66000,5.00000,1016.40000,271.35000,65.00000,266.22000
2018-03-09-22:00:00,2.29000,350.00000,1017.00000,271.55000,63.00000,266.04000
2018-03-09-23:00:00,3.99000,338.00000,1017.30000,271.05000,68.00000,266.45000
2018-03-10-00:00:00,2.60000,7.00000,1018.20000,276.15000,48.00000,266.18000
2018-03-10-01:00:00,1.47000,69.00000,1019.30000,279.85000,36.00000,265.80000
2018-03-10-02:00:00,2.90000,160.00000,1020.50000,280.65000,38.00000,267.24000
2018-03-10-03:00:00,4.48000,142.00000,1020.40000,282.45000,34.00000,267.39000
2018-03-10-04:00:00,3.98000,141.00000,1020.20000,284.45000,30.00000,267.52000
2018-03-10-05:00:00,5.03000,160.00000,1019.60000,285.45000,29.00000,267.95000
2018-03-10-06:00:00,4.44000,158.00000,1018.80000,285.45000,30.00000,268.40000
2018-03-10-07:00:00,4.08000,137.00000,1018.60000,285.25000,30.00000,268.23000
2018-03-10-08:00:00,4.64000,166.00000,1018.30000,285.15000,30.00000,268.14000
2018-03-10-09:00:00,5.16000,158.00000,1018.50000,283.95000,34.00000,268.74000
2018-03-10-10:00:00,4.29000,150.00000,1019.10000,282.15000,40.00000,269.28000
2018-03-10-11:00:00,3.86000,145.00000,1020.00000,279.95000,42.00000,267.92000
2018-03-10-12:00:00,5.03000,157.00000,1021.00000,277.85000,45.00000,266.91000
2018-03-10-13:00:00,3.11000,166.00000,1021.80000,276.15000,47.00000,265.90000
2018-03-10-14:00:00,2.06000,151.00000,1022.50000,275.85000,49.00000,266.17000
2018-03-10-15:00:00,2.99000,161.00000,1023.10000,274.55000,56.00000,266.70000
2018-03-10-16:00:00,2.10000,149.00000,1023.50000,274.15000,57.00000,266.56000
2018-03-10-17:00:00,1.27000,164.00000,1023.50000,273.65000,61.00000,266.98000
2018-03-10-18:00:00,1.20000,180.00000,1023.10000,271.95000,71.00000,267.83000
2018-03-10-19:00:00,0.85000,162.00000,1022.70000,271.95000,68.00000,267.32000
2018-03-10-20:00:00,1.25000,341.00000,1022.30000,270.85000,79.00000,268.03000
2018-03-10-21:00:00,0.24000,30.00000,1022.50000,270.25000,75.00000,266.83000
2018-03-10-22:00:00,0.35000,108.00000,1022.50000,269.55000,73.00000,265.83000
2018-03-10-23:00:00,0.63000,25.00000,1023.00000,270.05000,75.00000,266.63000
2018-03-11-00:00:00,2.23000,315.00000,1023.10000,273.55000,61.00000,266.88000
2018-03-11-01:00:00,2.14000,316.00000,1023.00000,276.45000,42.00000,264.72000
2018-03-11-02:00:00,1.50000,273.00000,1022.80000,277.35000,36.00000,263.55000
2018-03-11-03:00:00,1.47000,106.00000,1022.20000,277.65000,34.00000,263.09000
2018-03-11-04:00:00,2.25000,141.00000,1021.20000,277.85000,35.00000,263.64000
2018-03-11-05:00:00,1.91000,145.00000,1020.30000,278.95000,33.00000,263.87000
2018-03-11-06:00:00,1.65000,40.00000,1018.90000,279.35000,32.00000,263.83000
2018-03-11-07:00:00,1.74000,126.00000,1018.10000,279.65000,31.00000,263.69000
2018-03-11-08:00:00,1.52000,153.00000,1017.10000,279.95000,34.00000,265.15000
2018-03-11-09:00:00,1.07000,137.00000,1016.70000,280.15000,35.00000,265.71000
2018-03-11-10:00:00,0.43000,127.00000,1016.50000,279.95000,37.00000,266.25000
2018-03-11-11:00:00,0.84000,162.00000,1016.50000,279.05000,40.00000,266.46000
2018-03-11-12:00:00,2.36000,350.00000,1016.60000,277.95000,38.00000,264.79000
2018-03-11-13:00:00,1.00000,15.00000,1016.50000,278.25000,39.00000,265.40000
2018-03-11-14:00:00,0.69000,1.00000,1016.30000,278.25000,39.00000,265.40000
2018-03-11-15:00:00,1.72000,337.00000,1015.90000,278.45000,37.00000,264.90000
2018-03-11-16:00:00,1.11000,80.00000,1015.40000,277.85000,44.00000,266.61000
2018-03-11-17:00:00,1.36000,142.00000,1014.90000,278.05000,45.00000,267.09000
2018-03-11-18:00:00,1.21000,136.00000,1014.30000,277.55000,67.00000,271.96000
2018-03-11-19:00:00,1.02000,179.00000,1013.50000,277.05000,71.00000,272.28000
2018-03-11-20:00:00,0.20000,30.00000,1012.70000,274.85000,81.00000,271.94000
2018-03-11-21:00:00,0.28000,253.00000,1012.30000,273.55000,84.00000,271.16000
2018-03-11-22:00:00,0.89000,26.00000,1012.20000,273.15000,74.00000,269.06000
2018-03-11-23:00:00,1.04000,339.00000,1011.90000,272.95000,69.00000,268.46000
2018-03-12-00:00:00,2.42000,321.00000,1012.10000,275.95000,54.00000,267.54000
2018-03-12-01:00:00,1.74000,318.00000,1012.10000,277.85000,47.00000,267.48000
2018-03-12-02:00:00,1.51000,269.00000,1011.40000,280.15000,39.00000,267.13000
2018-03-12-03:00:00,1.73000,287.00000,1010.60000,280.85000,38.00000,267.42000
2018-03-12-04:00:00,2.09000,263.00000,1009.60000,282.85000,34.00000,267.75000
2018-03-12-05:00:00,1.86000,202.00000,1008.70000,283.45000,35.00000,268.67000
2018-03-12-06:00:00,2.27000,236.00000,1007.30000,284.75000,34.00000,269.45000
2018-03-12-07:00:00,2.83000,163.00000,1006.70000,285.85000,38.00000,271.95000
2018-03-12-08:00:00,2.38000,158.00000,1006.10000,285.35000,39.00000,271.85000
2018-03-12-09:00:00,2.72000,167.00000,1006.00000,284.95000,40.00000,271.83000
2018-03-12-10:00:00,0.83000,148.00000,1006.30000,283.95000,44.00000,272.22000
2018-03-12-11:00:00,1.17000,118.00000,1006.60000,281.25000,55.00000,272.77000
2018-03-12-12:00:00,1.57000,107.00000,1007.10000,281.25000,55.00000,272.77000
2018-03-12-13:00:00,0.78000,100.00000,1007.20000,278.95000,73.00000,274.50000
2018-03-12-14:00:00,0.80000,102.00000,1006.90000,277.85000,75.00000,273.81000
2018-03-12-15:00:00,0.80000,30.00000,1007.10000,277.85000,71.00000,273.05000
2018-03-12-16:00:00,0.86000,63.00000,1006.80000,277.25000,73.00000,272.85000
2018-03-12-17:00:00,0.96000,89.00000,1006.70000,276.55000,76.00000,272.72000
2018-03-12-18:00:00,0.54000,16.00000,1006.60000,276.05000,77.00000,272.42000
2018-03-12-19:00:00,1.74000,359.00000,1006.20000,275.35000,80.00000,272.26000
2018-03-12-20:00:00,1.56000,326.00000,1006.00000,274.65000,73.00000,270.33000
2018-03-12-21:00:00,1.68000,324.00000,1005.90000,274.05000,83.00000,271.49000
2018-03-12-22:00:00,2.43000,324.00000,1005.80000,273.65000,81.00000,270.76000
2018-03-12-23:00:00,2.60000,341.00000,1006.10000,274.75000,75.00000,270.79000
2018-03-13-00:00:00,3.06000,338.00000,1006.50000,277.45000,67.00000,271.87000
2018-03-13-01:00:00,2.36000,329.00000,1006.90000,280.75000,53.00000,271.80000
2018-03-13-02:00:00,2.07000,326.00000,1006.70000,282.85000,47.00000,272.11000
2018-03-13-03:00:00,2.20000,303.00000,1006.30000,286.35000,39.00000,272.76000
2018-03-13-04:00:00,1.48000,306.00000,1005.70000,287.55000,33.00000,271.55000
2018-03-13-05:00:00,1.57000,202.00000,1005.10000,289.35000,29.00000,271.39000
2018-03-13-06:00:00,1.72000,207.00000,1004.00000,290.85000,28.00000,272.22000
2018-03-13-07:00:00,2.29000,221.00000,1003.60000,291.25000,27.00000,272.07000
2018-03-13-08:00:00,2.39000,204.00000,1003.40000,291.95000,26.00000,272.17000
2018-03-13-09:00:00,2.01000,167.00000,1003.60000,291.65000,27.00000,272.42000
2018-03-13-10:00:00,0.98000,129.00000,1004.00000,288.75000,34.00000,273.03000
2018-03-13-11:00:00,0.81000,61.00000,1004.50000,285.75000,44.00000,273.88000
2018-03-13-12:00:00,0.58000,134.00000,1005.30000,283.45000,57.00000,275.34000
2018-03-13-13:00:00,0.66000,47.00000,1005.80000,282.55000,60.00000,275.21000
2018-03-13-14:00:00,0.78000,20.00000,1006.00000,282.55000,54.00000,273.74000
2018-03-13-15:00:00,1.38000,94.00000,1006.10000,281.25000,60.00000,273.98000
2018-03-13-16:00:00,0.77000,18.00000,1006.40000,281.75000,60.00000,274.45000
2018-03-13-17:00:00,1.30000,351.00000,1006.90000,279.75000,65.00000,273.66000
2018-03-13-18:00:00,3.12000,112.00000,1007.40000,283.85000,67.00000,278.01000
2018-03-13-19:00:00,0.96000,158.00000,1006.70000,282.45000,73.00000,277.88000
2018-03-13-20:00:00,0.66000,351.00000,1006.30000,280.85000,82.00000,277.99000
2018-03-13-21:00:00,0.85000,283.00000,1006.30000,279.85000,86.00000,277.68000
2018-03-13-22:00:00,1.16000,179.00000,1006.30000,278.75000,86.00000,276.60000
2018-03-13-23:00:00,1.22000,128.00000,1006.70000,279.15000,87.00000,277.16000
2018-03-14-00:00:00,1.52000,131.00000,1007.00000,280.65000,83.00000,277.96000
2018-03-14-01:00:00,0.76000,118.00000,1007.20000,282.65000,72.00000,277.88000
2018-03-14-02:00:00,1.92000,150.00000,1006.70000,284.55000,63.00000,277.80000
2018-03-14-03:00:00,2.21000,119.00000,1006.60000,286.35000,58.00000,278.33000
